"#Ref (1 Mouse, 2 Plant)" "Time / days post conception" "Proxy time" "Copy number" Species Ref n
1 0 0 2.50E+05 Mouse Cree 22
1 0 0 1.70E+05 Mouse Cao 42
1 0.29 0.29 2.50E+05 Mouse Cree 18
1 0.29 0.29 7.10E+04 Mouse Cao 32
1 0.58 0.58 5.80E+04 Mouse Cree 9
1 0.58 0.58 4.80E+04 Mouse Cao 32
1 0.73 0.73 6.30E+04 Mouse Cree 19
1 0.88 0.88 4.80E+04 Mouse Cree 33
1 0.88 0.88 2.10E+04 Mouse Cao 32
1 1.31 1.31 1.80E+04 Mouse Cree 11
1 5.5 5.5 1.50E+03 Mouse Cao 85
1 6.5 6.5 1.60E+03 Mouse Cao 43
1 7.5 7.5 4.50E+02 Mouse Cree 596
1 7.5 7.5 2.00E+03 Mouse Cao 53
1 7.75 7.75 2.00E+03 Mouse Cao 42
1 8.5 8.5 1.10E+03 Mouse Cree 165
1 8.5 8.5 2.10E+03 Mouse Cao 82
1 8.5 8.5 2.80E+02 Mouse Wai 20
1 9.5 9.5 2.20E+03 Mouse Cao 93
1 9.5 9.5 2.50E+03 Mouse Wai 20
1 10.5 10.5 1.60E+03 Mouse Cree 96
1 10.5 10.5 2.10E+03 Mouse Cao 74
1 10.5 10.5 2.80E+03 Mouse Wai 20
1 11.5 11.5 2.00E+03 Mouse Cao 67
1 12.5 12.5 1.90E+03 Mouse Cao 124
1 12.5 12.5 4.00E+03 Mouse Wai 20
1 13.5 13.5 2.10E+03 Mouse Cao 71
1 14.5 14.5 1.80E+03 Mouse Cree 2615
1 14.5 14.5 5.80E+03 Mouse Wai 20
1 16.5 16.5 2.40E+03 Mouse Wai 20
1 25 25 5.00E+03 Mouse Wai 20
1 29 29 1.00E+04 Mouse Wai 20
1 32 32 3.00E+04 Mouse Wai 20
1 46 46 6.50E+04 Mouse Wai 20
2 Egg 10 2000 Rice Takanashi -1
2 Egg 10 450 Pelargonium Kuroiwa -1
2 Embryo 20 410 Pea Lamppa -1
2 Shoot 30 140 Pea Lamppa -1
