tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
559292	Saccharomyces cerevisiae S288C	856520	0	live	MSH1	YHR120W	mismatch repair ATPase MSH1	mismatch repair ATPase MSH1		VIII	NC_001140.6	349574	352453	plus	1		
3702	Arabidopsis thaliana	822021	0	live	MSH1	AT3G24320, ATMSH1, CHLOROPLAST MUTATOR, CHM, CHM1, MUTL protein homolog 1	MUTL protein homolog 1	MUTL protein homolog 1		3	NC_003074.8	8822924	8829728	minus	22		
4081	Solanum lycopersicum	778305	0	live	MSH1		DNA mismatch repair protein MSH1	DNA mismatch repair protein MSH1		9	NC_015446.3	70732891	70766727	minus	25		
13333	Amborella trichopoda	18444086	0	live	MSH1	AMTR_s00039p00125380	DNA mismatch repair protein MSH1, mitochondrial	DNA mismatch repair protein MSH1, mitochondrial		Un							
4896	Schizosaccharomyces pombe	2542833	0	live	msh1	SPAC13F5.01c, SPAC23C11.18c	mismatch repair ATPase msh1	mismatch repair ATPase msh1		I	NC_003424.3	2169036	2172310	minus	3		
15368	Brachypodium distachyon	100835189	0	live	MSH1	BRADI_5g15120	DNA mismatch repair protein MSH1, mitochondrial	DNA mismatch repair protein MSH1, mitochondrial		5	NC_016135.3	18645397	18663506	minus	23		
1003335	Kluyveromyces marxianus DMKU3-1042	34717471	0	live	MSH1	KLMA_60253	DNA mismatch repair protein MSH1			6	NC_036030.1	531906	534737	plus	1		
1220188	Aspergillus tanneri	54333909	0	live	MSH1	ATNIH1004_011208	DNA mismatch repair ATPase msh1	DNA mismatch repair ATPase msh1		Unknown							
105984	Apiotrichum porosum	39593675	0	live	MSH1	EHS24_009132	DNA mismatch repair ATPase msh1	DNA mismatch repair ATPase msh1		Unknown							
655981	Pseudogymnoascus destructans	36287917	0	live	MSH1	VC83_04847	mismatch repair ATPase msh1	mismatch repair ATPase msh1		Unknown							
796027	Sugiyamaella lignohabitans	30037660	0	live	MSH1	AWJ20_609	mismatch repair ATPase MSH1			A	NC_031672.1	1966675	1969131	plus	1		
86515	Heliopora coerulea	14659874	0	live	msh1		msh1			MT	NC_020375.1	2498	5473	plus	0		
57918	Fragaria vesca	101291235	0	live	MSH1		DNA mismatch repair protein MSH1, mitochondrial	DNA mismatch repair protein MSH1, mitochondrial		LG4	NC_020494.1	4956850	4968052	plus	22		
