tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
9606	Homo sapiens	5888	0	live	RAD51	BRCC5, FANCR, HRAD51, HsRad51, HsT16930, MRMV2A, RECA, RAD51	RAD51 recombinase	DNA repair protein RAD51 homolog 1|BRCA1/BRCA2-containing complex, subunit 5|RAD51 homolog A|RecA, E. coli, homolog of|RecA-like protein|recombination protein A	15q15.1	15	NC_000015.10	40694774	40732340	plus	13	179617	
564608	Micromonas pusilla CCMP1545	9680516	0	live	RECA	MICPUCDRAFT_61635	recA DNA recombinase										
296587	Micromonas commoda	8245107	0	live	RECA	MICPUN_59802	recA DNA recombinase			7	NC_013044.1	189920	191844	minus	2		
556484	Phaeodactylum tricornutum CCAP 1055/1	7196788	0	live	recA	PHATRDRAFT_54013	chloroplast-targeted nuclear-encoded recombinase			1	NC_011669.1	1654385	1655866	minus	1		
3055	Chlamydomonas reinhardtii	5726340	0	live	RECA	CHLREDRAFT_182459	chloroplast RecA recombination protein			Unknown							
352472	Dictyostelium discoideum AX4	8620362	0	live	recA	DDB_G0276073, DDBDRAFT_0169470, DDBDRAFT_0231571, DDB_0169470, DDB_0231571	DNA recombination protein	recombinase A		2	NC_007088.5	6430683	6432257	minus	3		
39717	Paulinella chromatophora	6481506	0	live	recA	PCC_0602	recombinase A				NC_011087.1	667656	668759	plus	0		
261658	Dictyostelium fasciculatum	14865862	0	live	recA	DFA_11425	recombinase A			Unknown							
670386	Polysphondylium pallidum PN500	31357968	0	live	recA	PPL_02443	recombinase A			Unknown							
1928728	Paulinella micropora	38331463	0	live	recA	EFG77_pgp308, PMNZ_592	recombinase A	recombinase A			NC_039737.1	638996	640087	plus	0		
1093141	Nannochloropsis gaditana CCMP526	17360338	0	live	RECA	NGA_0495000	recombination protein RecA			Unknown							
10090	Mus musculus	57434	0	live	Xrcc2	4921524O04Rik, 8030409M04Rik, RAD51, RecA	X-ray repair complementing defective repair in Chinese hamster cells 2	DNA repair protein XRCC2|X-ray repair cross-complementing protein 2|recA/RAD51 family protein	5 B1	5	NC_000071.6	25689814	25705797	minus	3		
8355	Xenopus laevis	397726	0	live	rad51.S	brcc5, rad51, rad51-a, rad51-b, rad51a, reca, xrad51	RAD51 recombinase S homeolog	DNA repair protein RAD51 homolog A|RAD51 homolog (RecA homolog)|XRad51.1		8S	NC_030739.1	86943754	86953941	plus	5		
8355	Xenopus laevis	380251	0	live	rad51.L	XELAEV_18040067mg, brcc5, rad51, rad51-a, rad51-b, rad51a, reca, xrad51	RAD51 recombinase L homeolog	DNA repair protein RAD51 homolog B|RAD51 homolog (RecA homolog)|xRAD51.2		8L	NC_030738.1	93514631	93529623	plus	11		
3218	Physcomitrium patens	112277438	0	live	LOC112277438	PHYPA_029589, PprecA2, RecA	DNA repair protein recA homolog 1, chloroplastic-like	DNA repair protein recA homolog 1, chloroplastic-like		25	NC_037277.1	3159501	3164042	plus	14		
10090	Mus musculus	19361	0	live	Rad51	AV304093a, Reca, Rad51	RAD51 recombinase	DNA repair protein RAD51 homolog 1|RAD51 homolog A	2 59.92 cM	2	NC_000068.7	119112814	119136073	plus	10		
4232	Helianthus annuus	110938072	0	live	LOC110938072	HannXRQ_Chr04g0126181, RECA	DNA repair protein recA homolog 3, mitochondrial-like	DNA repair protein recA homolog 3, mitochondrial-like|putative protein RecA		4	NC_035436.1	173700915	173705340	plus	8		
3218	Physcomitrium patens	112294111	0	live	LOC112294111	PHYPA_022108, PprecA1, RecA	protein RecA-like	uncharacterized protein LOC112294111		17	NC_037269.1	10253092	10256443	minus	8		
49451	Nicotiana attenuata	109234267	0	live	LOC109234267	A4A49_01940, RECA	DNA repair protein recA homolog 1, chloroplastic	DNA repair protein recA homolog 1, chloroplastic|dna repair protein reca -like 1, chloroplastic		11	NC_031999.1	26246240	26252020	plus	13		
