tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
559292	Saccharomyces cerevisiae S288C	853609	0	live	MGM101	YJR144W, MGM9	Mgm101p	Mgm101p		X	NC_001142.9	700882	701691	plus	1		
1003335	Kluyveromyces marxianus DMKU3-1042	34716471	0	live	MGM101	KLMA_40485	mitochondrial genome maintenance protein MGM101			4	NC_036028.1	1099605	1100402	minus	1		
352472	Dictyostelium discoideum AX4	8621067	0	live	mgm101	DDB_G0277451, DDBDRAFT_0169252, DDBDRAFT_0304673, DDB_0169252, DDB_0304673	mitochondrial genome maintenance protein			2	NC_007088.5	8124262	8125395	plus	1		
4896	Schizosaccharomyces pombe	2540271	0	live	mgm101	SPBC30D10.08	putative DNA repair protein	putative DNA repair protein		II	NC_003423.3	3084277	3085466	minus	1		
237561	Candida albicans SC5314	3636820	0	live	MGM101	CAALFM_C102660CA	Mgm101p	Mgm101p		1	NC_032089.1	554577	555404	minus	1		
670386	Polysphondylium pallidum PN500	31359653	0	live	mgm101	PPL_04166	mitochondrial genome maintenance protein			Unknown							
261658	Dictyostelium fasciculatum	14877153	0	live	mgm101	DFA_02953	mitochondrial genome maintenance protein			Unknown							
1316788	Lachnellula hyalina	41988693	0	live	MGM101	LHYA1_G008495	Mitochondrial genome maintenance protein	Mitochondrial genome maintenance protein		Unknown							
796027	Sugiyamaella lignohabitans	30036839	0	live	MGM101	AWJ20_4681	Mgm101p			D	NC_031673.1	240136	241248	plus	1		
50429	Stylophora pistillata	111332981	0	live	LOC111332981	AWC38_SpisGene12031, mgm101	mitochondrial genome maintenance protein mgm101 homolog	mitochondrial genome maintenance protein mgm101 homolog|Mitochondrial genome maintenance protein mgm101-like		Un							
212818	Exophiala mesophila	27324911	0	live	PV10_07066	PV10_07066	mitochondrial genome maintenance protein mgm101	mitochondrial genome maintenance protein mgm101, variant 1|mitochondrial genome maintenance protein mgm101, variant 2		Unknown							
330879	Aspergillus fumigatus Af293	3513543	0	live	AFUA_2G09560	AFUA_2G09560, Afu2g09560	mitochondrial genome maintenance protein Mgm101, putative	mitochondrial genome maintenance protein Mgm101, putative		2	NC_007195.1	2448667	2449666	plus	2		
1522189	Ceraceosorus guamensis	37036081	0	live	IE81DRAFT_324342	IE81DRAFT_324342	mitochondrial genome maintenance MGM101	mitochondrial genome maintenance MGM101		Unknown							
1341132	Aspergillus welwitschiae	38144841	0	live	BDQ94DRAFT_76586	BDQ94DRAFT_76586	mitochondrial genome maintenance MGM101	mitochondrial genome maintenance MGM101		Unknown							
46731	Pocillopora damicornis	113679045	0	live	LOC113679045	pdam_00015412	mitochondrial genome maintenance protein mgm101 homolog	mitochondrial genome maintenance protein mgm101 homolog		Un							
367110	Neurospora crassa OR74A	3876601	0	live	NCU05517	NCU05517	mitochondrial genome maintenance protein MGM101			VI	NC_026506.1	1645312	1646983	minus	2		
1397361	Sporothrix schenckii 1099-18	27664732	0	live	SPSK_02587	SPSK_02587	mitochondrial genome maintenance protein MGM101, mitochondrial precursor			Unknown							
655844	Metarhizium robertsii ARSEF 23	19256641	0	live	MAA_02355	MAA_02355	mitochondrial genome maintenance protein MGM101										
1130832	Rhodotorula toruloides NP11	27368925	0	live	RHTO_04912	RHTO_04912	mitochondrial genome maintenance MGM101			Unknown							
84753	Moesziomyces antarcticus	26305705	0	live	PAN0_014c4963	PAN0_014c4963	mitochondrial genome maintenance MGM101			Unknown							
671144	Wallemia mellicola CBS 633.66	18472322	0	live	WALSEDRAFT_44172	WALSEDRAFT_44172	mitochondrial genome maintenance MGM101			Unknown							
1136231	Candida orthopsilosis Co 90-125	14538241	0	live	CORT_0B07840	CORT_0B07840	Mgm101 protein			2	NC_018295.1	1639984	1640778	plus	1		
222929	Coccidioides posadasii C735 delta SOWgp	9693338	0	live	CPC735_041540	CPC735_041540	Mitochondrial genome maintenance protein MGM101, putative	Mitochondrial genome maintenance protein MGM101, putative		Unknown							
264951	Byssochlamys spectabilis	39598282	0	live	C8Q69DRAFT_444548	C8Q69DRAFT_444548	mitochondrial genome maintenance MGM101-domain-containing protein	mitochondrial genome maintenance MGM101-domain-containing protein		Unknown							
1314773	Sodiomyces alkalinus F11	39577442	0	live	SODALDRAFT_303961	SODALDRAFT_303961	mitochondrial genome maintenance MGM101	mitochondrial genome maintenance MGM101		Unknown							
1279085	Fusarium fujikuroi IMI 58289	35399291	0	live	FFUJ_05812	FFUJ_05812	probable MGM101-mitochondrial genome maintenance protein			VI	NC_036627.1	1510593	1511553	minus	2		
109264	Aspergillus bombycis	34446309	0	live	ABOM_002919	ABOM_002919	genome maintenance protein MGM101			Unknown							
27334	Penicillium expansum	27678351	0	live	PEX2_056580	PEX2_056580	Mitochondrial genome maintenance MGM101			Unknown							
1509407	Aspergillus nomius NRRL 13137	26807464	0	live	ANOM_005660	ANOM_005660	genome maintenance protein MGM101	genome maintenance protein MGM101		Unknown							
655863	Grosmannia clavigera kw1407	25980574	0	live	CMQ_7070	CMQ_7070	mitochondrial genome maintenance protein mgm101			Unknown							
655819	Beauveria bassiana ARSEF 2860	19888711	0	live	BBA_05699	BBA_05699	mitochondrial genome maintenance protein MGM101			Unknown							
1116229	Glarea lozoyensis ATCC 20868	19459198	0	live	GLAREA_00138	GLAREA_00138	maintenance protein MGM101			Unknown							
1286976	Phaeoacremonium minimum UCRPA7	19321307	0	live	UCRPA7_1181	UCRPA7_1181	putative mitochondrial genome maintenance protein mgm101 protein			Unknown							
983644	Cordyceps militaris CM01	18167338	0	live	CCM_05320	CCM_05320	mitochondrial genome maintenance protein MGM101			Unknown							
1276141	Metarhizium brunneum ARSEF 3297	26239942	0	live	MBR_02672	MBR_02672	mgm101			Unknown							
1043004	Aureobasidium namibiae CBS 147.97	25407706	0	live	M436DRAFT_11948	M436DRAFT_11948	mitochondrial genome maintenance MGM101			Unknown							
655827	Metarhizium acridum CQMa 102	19249107	0	live	MAC_04796	MAC_04796	mitochondrial genome maintenance protein MGM101			Unknown							
502779	Paracoccidioides lutzii Pb01	9095027	0	live	PAAG_06511	PAAG_06511	mitochondrial genome maintenance protein mgm101			Unknown							
294747	Candida tropicalis MYA-3404	8296614	0	live	CTRG_04667	CTRG_04667	mitochondrial genome maintenance protein MGM101	mitochondrial genome maintenance protein MGM101		Unknown							
344612	Aspergillus clavatus NRRL 1	4700193	0	live	ACLA_081360	ACLA_081360	mitochondrial genome maintenance protein Mgm101, putative										
331117	Aspergillus fischeri NRRL 181	4587007	0	live	NFIA_085050	NFIA_085050	mitochondrial genome maintenance protein Mgm101, putative			Unknown							
58919	Tilletiopsis washingtonensis	37267538	0	live	FA09DRAFT_291832	FA09DRAFT_291832	mitochondrial genome maintenance MGM101	mitochondrial genome maintenance MGM101		Unknown							
1569628	Jaminaea rosea	37029265	0	live	BDZ90DRAFT_243732	BDZ90DRAFT_243732	mitochondrial genome maintenance MGM101	mitochondrial genome maintenance MGM101		Unknown							
1684307	Pseudomicrostroma glucosiphilum	37011764	0	live	BCV69DRAFT_242316	BCV69DRAFT_242316	mitochondrial genome maintenance MGM101	mitochondrial genome maintenance MGM101		Unknown							
984485	Hyphopichia burtonii NRRL Y-1933	30998224	0	live	HYPBUDRAFT_7614	HYPBUDRAFT_7614	mitochondrial genome maintenance MGM101			Unknown							
984487	Suhomyces tanzawaensis NRRL Y-17324	30986006	0	live	CANTADRAFT_91851	CANTADRAFT_91851	mitochondrial genome maintenance MGM101	mitochondrial genome maintenance MGM101		Unknown							
692275	Sphaerulina musiva SO2202	27899784	0	live	SEPMUDRAFT_13448	SEPMUDRAFT_13448	mitochondrial genome maintenance MGM101	mitochondrial genome maintenance MGM101		Unknown							
717944	Trametes versicolor FP-101664 SS1	19409337	0	live	TRAVEDRAFT_143539	TRAVEDRAFT_143539	mitochondrial genome maintenance MGM101			Unknown							
670483	Gloeophyllum trabeum ATCC 11539	19305614	0	live	GLOTRDRAFT_35262	GLOTRDRAFT_35262	mitochondrial genome maintenance MGM101			Unknown							
741705	Coniophora puteana RWD-64-598 SS2	19208338	0	live	CONPUDRAFT_64121	CONPUDRAFT_64121	mitochondrial genome maintenance MGM101			Unknown							
741275	Punctularia strigosozonata HHB-11173 SS5	18880963	0	live	PUNSTDRAFT_142823	PUNSTDRAFT_142823	mitochondrial genome maintenance MGM101			Unknown							
732165	Dichomitus squalens LYAD-421 SS1	18841655	0	live	DICSQDRAFT_24744	DICSQDRAFT_24744	mitochondrial genome maintenance MGM101	mitochondrial genome maintenance MGM101		Unknown							
721885	Stereum hirsutum FP-91666 SS1	18805739	0	live	STEHIDRAFT_59716	STEHIDRAFT_59716	mitochondrial genome maintenance MGM101			Unknown							
498019	[Candida] auris	40025204	0	live	CJI97_000057	CJI97_000057	mitochondrial genome maintenance protein MGM101	mitochondrial genome maintenance protein MGM101		Unknown							
1448316	Aspergillus ibericus CBS 121593	37220056	0	live	BO80DRAFT_335246	BO80DRAFT_335246	mitochondrial genome maintenance MGM101	mitochondrial genome maintenance MGM101		Unknown							
1448311	Aspergillus vadensis CBS 113365	37207362	0	live	BO88DRAFT_333555	BO88DRAFT_333555	mitochondrial genome maintenance MGM101	mitochondrial genome maintenance MGM101		Unknown							
1450537	Aspergillus homomorphus CBS 101889	37196107	0	live	BO97DRAFT_346613	BO97DRAFT_346613	mitochondrial genome maintenance MGM101	mitochondrial genome maintenance MGM101		Unknown							
1448317	Aspergillus costaricaensis CBS 115574	37181960	0	live	BO79DRAFT_120903	BO79DRAFT_120903	mitochondrial genome maintenance MGM101	mitochondrial genome maintenance MGM101		Unknown							
1448313	Aspergillus piperis CBS 112811	37163773	0	live	BO85DRAFT_450410	BO85DRAFT_450410	mitochondrial genome maintenance MGM101	mitochondrial genome maintenance MGM101		Unknown							
1448322	Aspergillus aculeatinus CBS 121060	37146302	0	live	BO66DRAFT_303635	BO66DRAFT_303635	mitochondrial genome maintenance MGM101	mitochondrial genome maintenance MGM101		Unknown							
1448315	Aspergillus uvarum CBS 121591	37133845	0	live	BO82DRAFT_275048	BO82DRAFT_275048	mitochondrial genome maintenance MGM101	mitochondrial genome maintenance MGM101		Unknown							
1448310	Aspergillus neoniger CBS 115656	37129133	0	live	BO87DRAFT_415233	BO87DRAFT_415233	mitochondrial genome maintenance MGM101	mitochondrial genome maintenance MGM101		Unknown							
1450535	Aspergillus sclerotioniger CBS 115572	37110936	0	live	BO94DRAFT_480401	BO94DRAFT_480401	mitochondrial genome maintenance MGM101	mitochondrial genome maintenance MGM101		Unknown							
1450533	Aspergillus lacticoffeatus CBS 101883	37095504	0	live	BO96DRAFT_290582	BO96DRAFT_290582	mitochondrial genome maintenance MGM101	mitochondrial genome maintenance MGM101		Unknown							
