tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
559292	Saccharomyces cerevisiae S288C	851890	0	live	MHR1	YDR296W, XTC1, mL67	Mhr1p	Mhr1p		IV	NC_001136.10	1055212	1055892	plus	1		
1003335	Kluyveromyces marxianus DMKU3-1042	34715705	0	live	MHR1	KLMA_30429	mitochondrial homologous recombination protein 1			3	NC_036027.1	955509	956168	plus	1		
322104	Scheffersomyces stipitis CBS 6054	4851185	0	live	MHR1	PICST_86481	protein involved in mitochondrial homologous DNA recombination			1	NC_009068.1	1144651	1145459	plus	1		
796027	Sugiyamaella lignohabitans	30035478	0	live	MHR1	AWJ20_3454	Mhr1p			B	NC_031674.1	4263842	4264516	plus	1		
1136231	Candida orthopsilosis Co 90-125	14539172	0	live	CORT_0B09020	CORT_0B09020	Mhr1 protein			2	NC_018295.1	1867826	1868551	plus	1		
4896	Schizosaccharomyces pombe	2540835	0	live	SPBC18H10.17c	SPBC18H10.17c	putative recombinase Mhr1	putative recombinase Mhr1		II	NC_003423.3	1800125	1801506	minus	1		
653667	Schizosaccharomyces cryophilus OY26	25038969	0	live	SPOG_04656	SPOG_04656	Mhr1 protein			Unknown							
27291	Saccharomyces paradoxus	54629734	0	live	SPAR_D04870	SPAR_D04870	Mhr1	Mhr1		IV	NC_047490.1	1013832	1014512	plus	1		
1080349	Saccharomyces eubayanus	28929611	0	live	DI49_0473	DI49_0473	ancestor homolog: Anc_5.313; saccharomyces cerevisiae ortholog: YDR296W	ancestor homolog: Anc_5.313|saccharomyces cerevisiae ortholog: YDR296W|MHR1-like protein		II	NC_030977.1	827312	827992	plus	1		
559292	Saccharomyces cerevisiae S288C	851259	0	live	SSA1	YAL005C, YG100	Hsp70 family ATPase SSA1	Hsp70 family ATPase SSA1		I	NC_001133.9	139503	141431	minus	1		
559292	Saccharomyces cerevisiae S288C	856862	0	live	RSP5	YER125W, MDP1, MUT2, NPI1, SMM1, UBY1	NEDD4 family E3 ubiquitin-protein ligase	NEDD4 family E3 ubiquitin-protein ligase		V	NC_001137.3	410189	412618	plus	1		
559292	Saccharomyces cerevisiae S288C	854198	0	live	EXO1	YOR033C, DHS1	Rad2 family nuclease EXO1	Rad2 family nuclease EXO1		XV	NC_001147.6	392416	394524	minus	1		
9606	Homo sapiens	1856	0	live	DVL2		dishevelled segment polarity protein 2	segment polarity protein dishevelled homolog DVL-2|dishevelled 2 (homologous to Drosophila dsh)|dishevelled, dsh homolog 2	17p13.1	17	NC_000017.11	7225341	7234544	minus	16	602151	
559292	Saccharomyces cerevisiae S288C	854156	0	live	TOP1	YOL006C, MAK1, MAK17	DNA topoisomerase 1	DNA topoisomerase 1		XV	NC_001147.6	313078	315387	minus	1		
9606	Homo sapiens	2801	0	live	GOLGA2	GM130	golgin A2	golgin subfamily A member 2|130 kDa cis-Golgi matrix protein|GM130 autoantigen|Golgi matrix protein GM130|SY11 protein|golgi autoantigen, golgin subfamily a, 2|golgin-95	9q34.11	9	NC_000009.12	128255829	128276000	minus	27	602580	
559292	Saccharomyces cerevisiae S288C	855828	0	live	GAL4	YPL248C, GAL81	galactose-responsive transcription factor GAL4	galactose-responsive transcription factor GAL4		XVI	NC_001148.4	79711	82356	minus	1		
9606	Homo sapiens	1857	0	live	DVL3	DRS3	dishevelled segment polarity protein 3	segment polarity protein dishevelled homolog DVL-3|dishevelled 3 (homologous to Drosophila dsh)|dishevelled, dsh homolog 3	3q27.1	3	NC_000003.12	184155311	184173614	plus	16	601368	
559292	Saccharomyces cerevisiae S288C	853503	0	live	SSC1	YJR045C, ENS1	Hsp70 family ATPase SSC1	Hsp70 family ATPase SSC1		X	NC_001142.9	519638	521602	minus	1		
559292	Saccharomyces cerevisiae S288C	852042	0	live	NPL3	YDR432W, MTR13, MTS1, NAB1, NOP3	mRNA-binding protein NPL3	mRNA-binding protein NPL3		IV	NC_001136.10	1328783	1330027	plus	1		
559292	Saccharomyces cerevisiae S288C	851212	0	live	CCR4	YAL021C, FUN27, NUT21	CCR4-NOT core exoribonuclease subunit CCR4	CCR4-NOT core exoribonuclease subunit CCR4		I	NC_001133.9	110846	113359	minus	1		
